order_id,customer_id,order_date,status,region_code
1,199.0,2026-06-04 01:57:44,SHIPPED,EAST
2,183.0,2026-01-20 23:35:30,CANCELLED,NORTH
4,291.0,2026-07-01 18:12:07,SHIPPED,NORTH
5,30.0,,DELIVERED,NORTH
6,47.0,2026-04-03 07:21:54,RETURNED,EAST
7,356.0,2026-06-10 04:31:06,PLACED,NORTH
8,426.0,2026-03-19 12:46:22,DELIVERED,EAST
9,454.0,2026-07-07 12:21:03,CANCELLED,SOUTH
10,296.0,2026-06-08 22:38:45,CANCELLED,WEST
11,168.0,2026-07-31 10:12:48,SHIPPED,SOUTH
12,430.0,2026-04-23 16:17:22,CANCELLED,NORTH
13,91.0,2026-05-05 02:19:37,CANCELLED,NORTH
14,389.0,2026-03-25 19:27:44,SHIPPED,EAST
15,348.0,2026-04-23 07:00:12,PLACED,EAST
16,248.0,2026-07-01 23:20:58,SHIPPED,SOUTH
17,194.0,2026-05-08 00:56:46,PLACED,WEST
18,29.0,,SHIPPED,WEST
19,232.0,2026-04-02 15:41:36,SHIPPED,EAST
20,187.0,2026-02-07 08:19:30,PLACED,NORTH
21,156.0,2026-04-11 05:19:26,PLACED,SOUTH
22,348.0,2026-01-11 06:29:55,CANCELLED,WEST
23,455.0,2026-05-03 05:54:44,DELIVERED,SOUTH
24,404.0,2026-05-17 11:48:07,CANCELLED,WEST
25,461.0,,DELIVERED,SOUTH
26,454.0,2026-02-21 02:19:00,CANCELLED,SOUTH
27,480.0,2026-01-12 13:23:15,SHIPPED,WEST
28,279.0,2026-01-25 02:03:20,SHIPPED,EAST
29,254.0,2026-05-08 09:55:09,SHIPPED,EAST
30,284.0,2026-05-11 09:10:12,DELIVERED,SOUTH
31,388.0,2026-07-18 12:47:58,SHIPPED,NORTH
32,30.0,,DELIVERED,WEST
33,307.0,2026-05-19 01:40:14,RETURNED,EAST
34,428.0,2026-06-17 20:15:52,CANCELLED,WEST
35,308.0,2026-02-19 01:40:58,DELIVERED,WEST
36,151.0,2026-03-26 20:17:03,SHIPPED,NORTH
37,262.0,2026-01-10 12:58:13,SHIPPED,SOUTH
39,94.0,2026-05-15 10:26:16,PLACED,NORTH
40,185.0,2026-01-10 08:50:46,DELIVERED,EAST
42,106.0,2026-03-28 14:39:55,RETURNED,EAST
43,439.0,2026-01-18 19:22:54,DELIVERED,NORTH
44,382.0,2026-05-13 22:31:53,RETURNED,NORTH
45,236.0,2026-01-23 15:28:00,RETURNED,NORTH
46,114.0,2026-02-16 01:22:36,RETURNED,SOUTH
47,427.0,2026-01-02 23:36:33,RETURNED,NORTH
48,112.0,2026-06-20 10:27:51,CANCELLED,WEST
50,140.0,2026-07-30 03:19:08,PLACED,EAST
51,121.0,2026-07-31 00:05:52,RETURNED,WEST
52,367.0,2026-06-29 04:31:24,PLACED,SOUTH
53,395.0,2026-03-08 10:30:30,CANCELLED,EAST
54,395.0,2026-05-03 08:21:28,PLACED,EAST
55,37.0,2026-01-29 18:36:58,DELIVERED,WEST
56,458.0,2026-01-07 02:14:58,CANCELLED,WEST
57,68.0,2026-01-05 17:05:56,DELIVERED,EAST
58,92.0,2026-05-15 07:45:35,DELIVERED,WEST
59,13.0,2026-03-27 11:25:32,CANCELLED,NORTH
60,360.0,2026-03-02 14:05:43,DELIVERED,EAST
61,89.0,2026-03-23 14:05:20,CANCELLED,SOUTH
62,52.0,2026-01-12 07:14:40,DELIVERED,EAST
63,432.0,2026-06-12 05:05:22,DELIVERED,WEST
64,322.0,2026-04-10 11:42:18,RETURNED,NORTH
65,301.0,2026-01-01 23:02:15,SHIPPED,EAST
66,33.0,,SHIPPED,SOUTH
67,410.0,2026-06-22 21:59:10,PLACED,EAST
68,284.0,2026-02-01 05:20:22,CANCELLED,WEST
69,465.0,,RETURNED,EAST
70,15.0,2026-04-15 14:26:14,DELIVERED,EAST
71,289.0,2026-05-29 06:33:34,CANCELLED,WEST
73,285.0,2026-02-04 08:42:58,CANCELLED,EAST
74,7.0,2026-03-09 08:29:47,CANCELLED,EAST
75,113.0,2026-06-15 11:07:39,CANCELLED,NORTH
76,365.0,2026-04-03 05:28:36,SHIPPED,WEST
77,122.0,2026-02-09 16:07:04,SHIPPED,NORTH
78,366.0,2026-07-07 15:02:22,CANCELLED,SOUTH
79,26.0,2026-02-22 23:04:58,DELIVERED,SOUTH
80,448.0,2026-05-10 02:35:04,SHIPPED,SOUTH
81,202.0,2026-04-26 18:45:15,CANCELLED,NORTH
82,372.0,2026-03-31 00:40:00,RETURNED,NORTH
83,385.0,2026-01-09 22:31:36,DELIVERED,SOUTH
84,307.0,2026-03-09 20:52:25,CANCELLED,WEST
86,453.0,2026-03-19 19:19:41,CANCELLED,WEST
87,500.0,2026-02-24 08:54:22,PLACED,WEST
88,367.0,2026-05-16 22:50:13,CANCELLED,EAST
89,224.0,2026-05-02 09:12:23,DELIVERED,EAST
90,218.0,2026-03-07 13:15:27,SHIPPED,WEST
92,295.0,2026-04-29 16:43:08,SHIPPED,NORTH
93,426.0,2026-02-01 01:44:05,DELIVERED,NORTH
94,327.0,2026-04-09 02:22:51,CANCELLED,WEST
95,184.0,2026-04-20 06:14:10,SHIPPED,NORTH
96,474.0,2026-03-19 14:32:17,PLACED,SOUTH
97,462.0,2026-04-29 16:18:57,RETURNED,SOUTH
98,290.0,2026-08-04 02:15:48,SHIPPED,WEST
99,419.0,2026-06-01 07:10:56,PLACED,WEST
100,434.0,2026-04-06 16:32:11,CANCELLED,NORTH
101,212.0,2026-05-31 13:06:02,RETURNED,NORTH
102,288.0,2026-06-30 03:27:37,DELIVERED,SOUTH
103,495.0,2026-08-02 15:20:04,CANCELLED,WEST
104,476.0,2026-03-15 10:52:02,CANCELLED,EAST
105,97.0,2026-08-06 05:17:08,RETURNED,NORTH
106,246.0,2026-06-16 14:55:36,RETURNED,NORTH
107,386.0,2026-01-15 21:49:18,RETURNED,SOUTH
108,46.0,2026-04-25 04:40:06,RETURNED,SOUTH
109,74.0,2026-04-07 22:00:24,DELIVERED,NORTH
110,357.0,2026-02-25 20:21:08,RETURNED,SOUTH
111,223.0,2026-05-31 10:48:52,SHIPPED,NORTH
112,128.0,2026-01-28 20:40:49,PLACED,SOUTH
113,76.0,2026-06-16 19:39:11,RETURNED,WEST
114,254.0,2026-06-18 23:22:46,SHIPPED,SOUTH
115,499.0,2026-05-12 13:18:50,SHIPPED,EAST
116,302.0,2026-05-13 04:29:24,PLACED,NORTH
117,368.0,2026-01-13 21:20:21,RETURNED,SOUTH
118,20.0,2026-05-09 06:05:09,PLACED,WEST
119,458.0,2026-04-27 10:00:17,SHIPPED,SOUTH
120,303.0,2026-07-14 23:20:49,RETURNED,EAST
121,236.0,2026-04-23 13:20:00,DELIVERED,SOUTH
122,169.0,2026-06-02 19:59:46,PLACED,NORTH
123,165.0,,RETURNED,EAST
124,437.0,2026-07-25 13:57:46,SHIPPED,EAST
125,341.0,2026-07-25 09:31:30,SHIPPED,SOUTH
126,378.0,2026-01-21 07:49:12,CANCELLED,WEST
127,487.0,2026-03-11 20:55:35,SHIPPED,SOUTH
128,483.0,2026-06-09 12:43:38,PLACED,SOUTH
129,264.0,2026-03-12 22:29:55,RETURNED,WEST
130,97.0,2026-06-12 21:20:47,DELIVERED,NORTH
131,46.0,2026-03-22 21:03:34,SHIPPED,NORTH
132,216.0,2026-03-07 00:44:58,PLACED,WEST
133,127.0,2026-07-14 20:08:36,DELIVERED,SOUTH
134,188.0,2026-02-09 19:46:58,DELIVERED,WEST
135,466.0,2026-02-27 11:53:14,DELIVERED,NORTH
137,80.0,2026-02-17 18:20:39,PLACED,SOUTH
138,154.0,,CANCELLED,SOUTH
139,299.0,2026-01-30 07:35:27,DELIVERED,SOUTH
140,230.0,2026-06-13 10:10:46,CANCELLED,EAST
141,345.0,2026-08-04 09:07:00,CANCELLED,SOUTH
142,500.0,2026-04-22 21:44:47,RETURNED,SOUTH
143,327.0,2026-04-05 17:10:18,RETURNED,SOUTH
144,370.0,2026-01-20 09:04:48,CANCELLED,NORTH
145,402.0,2026-05-19 03:04:19,PLACED,NORTH
146,456.0,2026-04-05 23:04:19,RETURNED,SOUTH
147,210.0,2026-03-11 04:24:11,CANCELLED,NORTH
148,483.0,2026-03-01 08:22:39,RETURNED,EAST
149,87.0,2026-01-20 18:32:55,DELIVERED,WEST
150,316.0,2026-04-19 15:35:41,CANCELLED,SOUTH
151,124.0,2026-04-25 14:37:49,RETURNED,EAST
152,308.0,2026-02-20 10:11:00,RETURNED,WEST
153,68.0,2026-03-31 21:09:30,RETURNED,NORTH
154,458.0,2026-07-07 17:50:12,DELIVERED,SOUTH
155,379.0,2026-07-07 23:34:52,PLACED,WEST
156,116.0,2026-06-22 00:43:00,CANCELLED,EAST
157,356.0,2026-02-16 07:35:36,DELIVERED,NORTH
158,367.0,2026-04-15 22:12:51,CANCELLED,EAST
159,239.0,,DELIVERED,EAST
161,161.0,,DELIVERED,NORTH
162,225.0,,PLACED,WEST
163,454.0,2026-03-07 01:14:47,DELIVERED,SOUTH
164,246.0,2026-01-02 08:15:15,PLACED,EAST
165,167.0,2026-06-02 05:52:36,RETURNED,WEST
166,437.0,2026-03-24 02:16:17,SHIPPED,NORTH
167,160.0,2026-04-07 05:43:24,DELIVERED,NORTH
168,266.0,2026-07-04 23:59:07,SHIPPED,NORTH
169,392.0,2026-03-18 15:14:48,SHIPPED,WEST
170,349.0,2026-04-23 10:00:13,SHIPPED,SOUTH
171,154.0,2026-04-22 14:16:04,SHIPPED,EAST
172,359.0,2026-03-05 04:24:57,PLACED,NORTH
173,458.0,2026-01-05 03:36:02,RETURNED,WEST
174,484.0,2026-01-06 10:39:18,DELIVERED,NORTH
175,69.0,2026-03-03 16:33:40,SHIPPED,WEST
176,164.0,2026-06-27 03:18:18,PLACED,EAST
177,261.0,2026-05-19 13:24:36,RETURNED,SOUTH
178,250.0,2026-07-02 14:41:45,RETURNED,EAST
180,308.0,2026-04-03 18:25:13,SHIPPED,EAST
181,306.0,2026-03-20 21:25:55,PLACED,NORTH
183,420.0,,PLACED,WEST
184,260.0,2026-08-04 23:29:27,CANCELLED,SOUTH
185,69.0,2026-04-21 22:08:40,SHIPPED,SOUTH
186,41.0,2026-06-05 12:09:35,DELIVERED,SOUTH
187,369.0,,PLACED,NORTH
188,224.0,2026-01-25 18:21:48,RETURNED,WEST
189,42.0,2026-07-09 02:31:32,DELIVERED,SOUTH
190,478.0,2026-01-27 21:53:26,DELIVERED,SOUTH
191,307.0,,CANCELLED,WEST
192,120.0,2026-03-21 10:13:10,SHIPPED,SOUTH
193,199.0,,PLACED,SOUTH
194,130.0,2026-07-13 06:25:40,DELIVERED,SOUTH
195,161.0,2026-08-04 03:04:26,SHIPPED,WEST
196,141.0,2026-07-23 19:58:49,SHIPPED,WEST
197,483.0,2026-04-08 10:41:29,PLACED,SOUTH
198,91.0,2026-04-29 01:54:05,RETURNED,EAST
199,39.0,2026-05-15 22:49:33,DELIVERED,NORTH
200,335.0,2026-08-08 19:14:56,CANCELLED,SOUTH
201,276.0,,RETURNED,WEST
202,347.0,2026-03-28 20:32:06,DELIVERED,WEST
203,462.0,2026-01-13 17:59:58,DELIVERED,NORTH
204,225.0,2026-08-02 23:43:53,DELIVERED,WEST
205,312.0,2026-01-17 08:59:19,DELIVERED,NORTH
206,363.0,2026-06-28 20:37:06,DELIVERED,NORTH
207,426.0,2026-07-23 13:50:52,PLACED,EAST
208,11.0,,RETURNED,NORTH
209,381.0,2026-06-05 07:23:41,DELIVERED,NORTH
210,455.0,2026-02-05 23:32:23,RETURNED,NORTH
211,260.0,2026-03-04 10:08:04,PLACED,SOUTH
212,47.0,2026-07-11 01:44:35,CANCELLED,EAST
213,229.0,2026-01-22 10:48:25,RETURNED,NORTH
214,481.0,2026-03-07 18:27:24,SHIPPED,NORTH
215,106.0,2026-02-07 17:25:47,RETURNED,WEST
216,211.0,2026-04-07 17:07:07,RETURNED,SOUTH
217,396.0,2026-01-26 16:37:12,RETURNED,NORTH
218,48.0,2026-06-01 02:57:59,PLACED,EAST
219,284.0,2026-07-03 05:07:33,CANCELLED,SOUTH
220,308.0,2026-01-07 12:37:43,SHIPPED,NORTH
222,234.0,2026-02-15 16:33:01,DELIVERED,NORTH
223,191.0,,RETURNED,SOUTH
224,142.0,,PLACED,EAST
225,351.0,2026-05-26 05:30:58,RETURNED,EAST
226,112.0,2026-04-09 00:51:02,CANCELLED,EAST
227,444.0,2026-03-18 09:20:23,PLACED,WEST
228,416.0,2026-03-19 10:05:35,SHIPPED,NORTH
230,266.0,2026-03-30 20:32:59,DELIVERED,NORTH
231,42.0,2026-05-04 22:46:11,DELIVERED,SOUTH
232,311.0,2026-04-19 12:27:06,CANCELLED,NORTH
